id,0,degree,modularity_class,clustering,eigencentrality
DAL,Industrials,4,10,0.5,7.141794505780401E-4
HES,Energy,230,6,0.539775963546611,0.9479729010371786
ORCL,Information Technology,4,10,1.0,0.024623588783053776
TXT,Industrials,74,10,0.9296556830803406,0.4046547740366151
PXD,Energy,173,6,0.6883989783573061,0.7937996342780995
HOG,Consumer Discretionary,155,5,0.7899455383326351,0.7619821086224007
ESS,Real Estate,159,5,0.7508956293288751,0.7633631518725504
CNP,Utilities,78,7,0.7345987345987346,0.3513923509012409
HON,Industrials,263,10,0.44599889704815254,0.9928799752464689
ICE,Financials,39,13,0.9500674763832658,0.2164376290729542
AN,Consumer Discretionary,10,5,0.9555555555555556,0.05315634624494133
TROW,Financials,238,13,0.506754600574407,0.9517600614901205
PFE,Health Care,4,13,0.6666666666666666,0.018991116989889117
NKE,Consumer Discretionary,109,5,0.8394495412844036,0.5553391580168578
PFG,Financials,224,13,0.541800128122998,0.9224228543111067
SPGI,Financials,1,13,0.0,8.989584190482322E-5
